	Fixation Duration_m_WF002_1PT.avi_eye_N	Fixation Duration_m_WF002_1PT.avi_eye_Mean	Fixation Duration_m_WF002_1PT.avi_eye_Sum	Fixation Duration_m_WF002_1PT.avi_eye_Stdev	Fixation Duration_m_WF002_1PT.avi_mouth_N	Fixation Duration_m_WF002_1PT.avi_mouth_Mean	Fixation Duration_m_WF002_1PT.avi_mouth_Sum	Fixation Duration_m_WF002_1PT.avi_mouth_Stdev	Fixation Duration_m_WF009_4PL.avi_eye_N	Fixation Duration_m_WF009_4PL.avi_eye_Mean	Fixation Duration_m_WF009_4PL.avi_eye_Sum	Fixation Duration_m_WF009_4PL.avi_eye_Stdev	Fixation Duration_m_WF009_4PL.avi_mouth_N	Fixation Duration_m_WF009_4PL.avi_mouth_Mean	Fixation Duration_m_WF009_4PL.avi_mouth_Sum	Fixation Duration_m_WF009_4PL.avi_mouth_Stdev	Fixation Duration_m_WF011_1PT.avi_eye_N	Fixation Duration_m_WF011_1PT.avi_eye_Mean	Fixation Duration_m_WF011_1PT.avi_eye_Sum	Fixation Duration_m_WF011_1PT.avi_eye_Stdev	Fixation Duration_m_WF011_1PT.avi_mouth_N	Fixation Duration_m_WF011_1PT.avi_mouth_Mean	Fixation Duration_m_WF011_1PT.avi_mouth_Sum	Fixation Duration_m_WF011_1PT.avi_mouth_Stdev	Fixation Duration_m_WF013_1PT.avi_eye_N	Fixation Duration_m_WF013_1PT.avi_eye_Mean	Fixation Duration_m_WF013_1PT.avi_eye_Sum	Fixation Duration_m_WF013_1PT.avi_eye_Stdev	Fixation Duration_m_WF013_1PT.avi_mouth_N	Fixation Duration_m_WF013_1PT.avi_mouth_Mean	Fixation Duration_m_WF013_1PT.avi_mouth_Sum	Fixation Duration_m_WF013_1PT.avi_mouth_Stdev	Fixation Duration_m_WF014_4PL.avi_eye_N	Fixation Duration_m_WF014_4PL.avi_eye_Mean	Fixation Duration_m_WF014_4PL.avi_eye_Sum	Fixation Duration_m_WF014_4PL.avi_eye_Stdev	Fixation Duration_m_WF014_4PL.avi_mouth_N	Fixation Duration_m_WF014_4PL.avi_mouth_Mean	Fixation Duration_m_WF014_4PL.avi_mouth_Sum	Fixation Duration_m_WF014_4PL.avi_mouth_Stdev	Fixation Duration_m_WF017_4PL.avi_eye_N	Fixation Duration_m_WF017_4PL.avi_eye_Mean	Fixation Duration_m_WF017_4PL.avi_eye_Sum	Fixation Duration_m_WF017_4PL.avi_eye_Stdev	Fixation Duration_m_WF017_4PL.avi_mouth_N	Fixation Duration_m_WF017_4PL.avi_mouth_Mean	Fixation Duration_m_WF017_4PL.avi_mouth_Sum	Fixation Duration_m_WF017_4PL.avi_mouth_Stdev	Fixation Duration_m_WF022_4PL.avi_eye_N	Fixation Duration_m_WF022_4PL.avi_eye_Mean	Fixation Duration_m_WF022_4PL.avi_eye_Sum	Fixation Duration_m_WF022_4PL.avi_eye_Stdev	Fixation Duration_m_WF022_4PL.avi_mouth_N	Fixation Duration_m_WF022_4PL.avi_mouth_Mean	Fixation Duration_m_WF022_4PL.avi_mouth_Sum	Fixation Duration_m_WF022_4PL.avi_mouth_Stdev	Fixation Duration_m_WF024_1PT.avi_eye_N	Fixation Duration_m_WF024_1PT.avi_eye_Mean	Fixation Duration_m_WF024_1PT.avi_eye_Sum	Fixation Duration_m_WF024_1PT.avi_eye_Stdev	Fixation Duration_m_WF024_1PT.avi_mouth_N	Fixation Duration_m_WF024_1PT.avi_mouth_Mean	Fixation Duration_m_WF024_1PT.avi_mouth_Sum	Fixation Duration_m_WF024_1PT.avi_mouth_Stdev	Fixation Duration_s_WF005_4PL.avi_eye_N	Fixation Duration_s_WF005_4PL.avi_eye_Mean	Fixation Duration_s_WF005_4PL.avi_eye_Sum	Fixation Duration_s_WF005_4PL.avi_eye_Stdev	Fixation Duration_s_WF005_4PL.avi_mouth_N	Fixation Duration_s_WF005_4PL.avi_mouth_Mean	Fixation Duration_s_WF005_4PL.avi_mouth_Sum	Fixation Duration_s_WF005_4PL.avi_mouth_Stdev	Fixation Duration_s_WF007_4PL.avi_eye_N	Fixation Duration_s_WF007_4PL.avi_eye_Mean	Fixation Duration_s_WF007_4PL.avi_eye_Sum	Fixation Duration_s_WF007_4PL.avi_eye_Stdev	Fixation Duration_s_WF007_4PL.avi_mouth_N	Fixation Duration_s_WF007_4PL.avi_mouth_Mean	Fixation Duration_s_WF007_4PL.avi_mouth_Sum	Fixation Duration_s_WF007_4PL.avi_mouth_Stdev	Fixation Duration_s_WF016_4PL.avi_eye_N	Fixation Duration_s_WF016_4PL.avi_eye_Mean	Fixation Duration_s_WF016_4PL.avi_eye_Sum	Fixation Duration_s_WF016_4PL.avi_eye_Stdev	Fixation Duration_s_WF016_4PL.avi_mouth_N	Fixation Duration_s_WF016_4PL.avi_mouth_Mean	Fixation Duration_s_WF016_4PL.avi_mouth_Sum	Fixation Duration_s_WF016_4PL.avi_mouth_Stdev	Fixation Duration_s_WF018_1PT.avi_eye_N	Fixation Duration_s_WF018_1PT.avi_eye_Mean	Fixation Duration_s_WF018_1PT.avi_eye_Sum	Fixation Duration_s_WF018_1PT.avi_eye_Stdev	Fixation Duration_s_WF018_1PT.avi_mouth_N	Fixation Duration_s_WF018_1PT.avi_mouth_Mean	Fixation Duration_s_WF018_1PT.avi_mouth_Sum	Fixation Duration_s_WF018_1PT.avi_mouth_Stdev	Fixation Duration_s_WF021_1PT.avi_eye_N	Fixation Duration_s_WF021_1PT.avi_eye_Mean	Fixation Duration_s_WF021_1PT.avi_eye_Sum	Fixation Duration_s_WF021_1PT.avi_eye_Stdev	Fixation Duration_s_WF021_1PT.avi_mouth_N	Fixation Duration_s_WF021_1PT.avi_mouth_Mean	Fixation Duration_s_WF021_1PT.avi_mouth_Sum	Fixation Duration_s_WF021_1PT.avi_mouth_Stdev	Fixation Duration_s_WF022_1PT.avi_eye_N	Fixation Duration_s_WF022_1PT.avi_eye_Mean	Fixation Duration_s_WF022_1PT.avi_eye_Sum	Fixation Duration_s_WF022_1PT.avi_eye_Stdev	Fixation Duration_s_WF022_1PT.avi_mouth_N	Fixation Duration_s_WF022_1PT.avi_mouth_Mean	Fixation Duration_s_WF022_1PT.avi_mouth_Sum	Fixation Duration_s_WF022_1PT.avi_mouth_Stdev	Fixation Duration_s_WF023_4PL.avi_eye_N	Fixation Duration_s_WF023_4PL.avi_eye_Mean	Fixation Duration_s_WF023_4PL.avi_eye_Sum	Fixation Duration_s_WF023_4PL.avi_eye_Stdev	Fixation Duration_s_WF023_4PL.avi_mouth_N	Fixation Duration_s_WF023_4PL.avi_mouth_Mean	Fixation Duration_s_WF023_4PL.avi_mouth_Sum	Fixation Duration_s_WF023_4PL.avi_mouth_Stdev	Fixation Duration_s_WF025_1PT.avi_eye_N	Fixation Duration_s_WF025_1PT.avi_eye_Mean	Fixation Duration_s_WF025_1PT.avi_eye_Sum	Fixation Duration_s_WF025_1PT.avi_eye_Stdev	Fixation Duration_s_WF025_1PT.avi_mouth_N	Fixation Duration_s_WF025_1PT.avi_mouth_Mean	Fixation Duration_s_WF025_1PT.avi_mouth_Sum	Fixation Duration_s_WF025_1PT.avi_mouth_Stdev
Jieying	70	0.35	24.52	0.26	-	-	-	-	54	0.45	24.36	0.36	-	-	-	-	58	0.41	23.92	0.32	-	-	-	-	63	0.46	28.78	0.34	-	-	-	-	55	0.50	27.53	0.42	-	-	-	-	51	0.43	22.09	0.34	1	0.11	0.11	-	48	0.68	32.83	0.52	-	-	-	-	57	0.56	31.89	0.40	-	-	-	-	65	0.45	29.23	0.26	-	-	-	-	45	0.69	30.95	0.63	-	-	-	-	65	0.38	24.97	0.27	-	-	-	-	46	0.56	25.61	0.42	-	-	-	-	30	0.75	22.61	0.47	-	-	-	-	41	0.59	24.25	0.36	1	0.21	0.21	-	35	0.64	22.30	0.39	-	-	-	-	39	0.54	20.98	0.53	1	0.14	0.14	-
Jieying	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0.60	0.60	-	5	0.16	0.78	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Mengran	4	0.16	0.64	0.12	3	0.19	0.56	0.14	8	0.27	2.12	0.12	3	0.63	1.89	0.57	2	0.29	0.57	0.04	5	0.37	1.84	0.11	4	0.33	1.33	0.25	5	0.47	2.35	0.29	4	0.26	1.04	0.21	1	0.35	0.35	-	14	0.27	3.81	0.28	3	0.70	2.11	1.14	6	0.29	1.72	0.28	6	0.36	2.13	0.14	13	0.25	3.22	0.24	2	0.17	0.35	0.18	13	0.36	4.64	0.25	6	0.25	1.52	0.18	9	0.48	4.31	0.49	4	0.27	1.08	0.43	7	0.21	1.50	0.23	1	0.92	0.92	-	14	0.50	7.02	0.51	9	0.32	2.85	0.34	3	0.19	0.58	0.16	11	0.48	5.24	0.26	10	0.34	3.39	0.23	8	0.31	2.44	0.23	4	0.08	0.30	0.05	14	0.41	5.78	0.23	10	0.34	3.38	0.16	1	0.46	0.46	-
P03	20	1.55	30.96	2.04	-	-	-	-	14	1.92	26.88	2.28	-	-	-	-	13	2.69	34.91	2.77	-	-	-	-	12	3.10	37.17	2.45	-	-	-	-	11	2.97	32.64	2.15	-	-	-	-	16	1.76	28.16	1.35	-	-	-	-	13	2.75	35.74	3.42	-	-	-	-	15	2.00	29.95	2.14	-	-	-	-	30	1.10	33.12	1.33	-	-	-	-	17	1.76	29.84	1.96	-	-	-	-	20	1.35	27.04	1.46	-	-	-	-	27	1.07	28.79	1.72	-	-	-	-	14	1.51	21.12	1.45	-	-	-	-	14	2.16	30.30	2.07	-	-	-	-	14	2.13	29.81	2.51	-	-	-	-	10	2.04	20.42	2.39	-	-	-	-
P04	20	0.49	9.85	0.35	21	0.40	8.33	0.23	4	0.65	2.58	0.43	10	0.93	9.34	0.76	7	0.19	1.33	0.10	14	1.00	14.05	1.67	5	0.63	3.16	0.35	9	0.88	7.89	0.36	6	0.20	1.18	0.14	6	0.64	3.84	0.40	15	0.38	5.69	0.32	16	0.38	6.00	0.33	7	0.33	2.33	0.35	19	0.50	9.57	0.31	7	0.37	2.62	0.20	4	0.27	1.09	0.15	15	0.67	10.06	0.28	13	0.63	8.14	0.40	7	0.50	3.47	0.29	13	0.39	5.02	0.17	17	0.52	8.88	0.41	10	0.51	5.09	0.25	13	0.51	6.68	0.36	12	0.47	5.66	0.27	4	0.25	1.01	0.13	15	0.97	14.52	0.99	2	0.21	0.41	0.22	16	0.78	12.41	0.96	-	-	-	-	17	0.82	13.98	0.48	7	0.42	2.91	0.20	10	0.52	5.23	0.43
P05	46	0.61	28.28	0.29	2	1.03	2.06	0.17	49	0.47	22.96	0.31	4	0.28	1.13	0.24	42	0.50	20.94	0.38	8	0.35	2.76	0.32	60	0.54	32.53	0.27	3	0.46	1.38	0.20	33	0.69	22.81	0.52	2	0.77	1.55	0.05	38	0.72	27.27	0.49	1	0.37	0.37	-	42	0.60	25.01	0.48	8	0.30	2.42	0.29	32	0.64	20.56	0.50	3	0.45	1.36	0.20	65	0.37	23.93	0.20	1	0.37	0.37	-	39	0.88	34.21	0.77	-	-	-	-	52	0.51	26.35	0.30	3	0.48	1.43	0.45	52	0.43	22.25	0.34	6	0.19	1.17	0.18	28	1.04	29.19	0.96	-	-	-	-	34	0.59	20.05	0.52	7	0.66	4.60	0.67	25	1.10	27.40	1.45	2	0.13	0.26	0.11	35	0.41	14.29	0.30	-	-	-	-
P06	19	1.37	25.99	1.84	6	0.34	2.05	0.21	37	0.69	25.68	0.47	6	0.46	2.74	0.24	32	0.54	17.15	0.32	7	0.81	5.65	0.41	45	0.61	27.63	0.40	11	0.52	5.69	0.45	32	0.80	25.52	0.53	5	0.70	3.48	0.37	32	0.76	24.35	0.58	11	0.22	2.44	0.17	36	0.67	24.21	0.58	19	0.47	8.93	0.33	42	0.62	26.14	0.41	12	0.38	4.58	0.16	34	0.62	21.08	0.41	7	0.47	3.31	0.38	31	0.83	25.73	0.61	8	0.50	4.01	0.52	33	0.64	21.25	0.34	11	0.67	7.41	0.39	29	0.55	15.82	0.28	17	0.43	7.34	0.19	31	0.68	20.94	0.85	7	0.24	1.67	0.22	28	0.61	17.21	0.25	15	0.72	10.87	0.41	33	0.56	18.63	0.24	21	0.70	14.77	0.36	27	0.51	13.75	0.26	8	0.17	1.37	0.15
P07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	0.05	0.11	0.06	10	1.02	10.18	1.31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0.05	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
P08	1	0.17	0.17	-	1	0.22	0.22	-	-	-	-	-	12	0.67	7.98	0.44	-	-	-	-	13	1.36	17.67	2.37	-	-	-	-	8	0.96	7.64	1.28	1	0.12	0.12	-	9	1.08	9.74	1.11	5	0.39	1.94	0.28	5	0.69	3.46	0.42	1	0.67	0.67	-	30	0.89	26.65	0.65	1	0.14	0.14	-	10	1.24	12.37	0.96	1	1.01	1.01	-	6	0.29	1.74	0.14	1	0.11	0.11	-	16	1.39	22.27	1.39	1	0.75	0.75	-	7	0.73	5.12	1.04	1	0.53	0.53	-	5	0.19	0.94	0.23	1	0.09	0.09	-	13	2.21	28.72	2.20	-	-	-	-	8	0.65	5.18	0.77	-	-	-	-	8	4.53	36.22	4.15	4	0.19	0.74	0.16	3	0.36	1.08	0.41
P09	18	0.95	17.07	1.07	2	0.05	0.09	0.01	16	0.59	9.40	0.47	2	0.15	0.29	0.20	22	0.52	11.35	0.33	8	0.27	2.17	0.27	40	0.68	27.09	0.44	5	0.45	2.27	0.41	17	1.24	21.05	1.95	1	0.09	0.09	-	28	0.62	17.46	0.46	4	0.21	0.86	0.13	35	0.57	19.86	0.45	5	0.27	1.33	0.35	37	0.69	25.46	0.52	5	0.35	1.75	0.24	28	0.51	14.26	0.22	7	0.44	3.06	0.15	16	0.87	13.92	0.77	11	0.33	3.58	0.27	38	0.61	23.09	0.43	4	0.18	0.72	0.17	42	0.62	26.20	0.34	-	-	-	-	7	0.66	4.64	0.72	5	1.95	9.77	2.13	8	0.56	4.47	0.35	16	0.29	4.58	0.26	1	0.35	0.35	-	33	0.89	29.34	0.87	8	0.45	3.64	0.39	9	0.61	5.51	0.48
