	Fixation Duration_All Media_eyes_N	Fixation Duration_All Media_eyes_Mean	Fixation Duration_All Media_eyes_Sum	Fixation Duration_All Media_eyes_Stdev	Fixation Duration_All Media_mouth_N	Fixation Duration_All Media_mouth_Mean	Fixation Duration_All Media_mouth_Sum	Fixation Duration_All Media_mouth_Stdev
Jieying	822	0.51	416.82	0.40	3	0.15	0.46	0.05
Jieying	1	0.60	0.60	-	5	0.16	0.78	0.11
Mengran	125	0.32	39.58	0.30	82	0.39	31.87	0.32
P03	260	1.83	476.84	2.09	-	-	-	-
P04	136	0.46	62.16	0.33	205	0.63	130.17	0.68
P05	672	0.59	398.03	0.55	50	0.42	20.84	0.38
P06	521	0.67	351.10	0.59	171	0.50	86.31	0.36
P07	2	0.05	0.11	0.06	11	0.93	10.23	1.28
P08	18	0.35	6.27	0.30	154	1.21	187.02	1.73
P09	361	0.66	239.33	0.65	117	0.56	65.41	0.76
P10	105	0.48	49.92	0.39	67	0.69	46.21	0.54
P11	449	0.37	165.03	0.35	54	0.36	19.30	0.23
P12	63	0.38	24.19	0.34	223	0.65	144.29	0.52
P13	211	2.05	432.46	2.36	18	0.57	10.30	0.60
P14	38	0.36	13.83	0.30	547	0.59	321.09	0.52
P15	134	0.42	56.09	0.44	4	0.45	1.82	0.86
P16	209	0.45	94.55	0.43	181	0.49	88.57	0.52
P17	39	0.50	19.54	0.51	51	0.62	31.53	0.80
P18	135	0.44	59.93	0.42	246	0.73	178.45	0.83
P19	333	0.72	238.38	0.71	58	0.33	19.26	0.30
P20	48	0.21	10.19	0.16	286	0.40	114.01	0.47
P21	48	0.28	13.37	0.18	406	0.87	352.37	0.97
P23	596	0.43	253.50	0.43	50	0.34	16.86	0.37
P24	225	0.65	146.64	0.64	46	0.62	28.67	0.54
P25	289	0.77	221.58	0.87	16	0.28	4.43	0.32
P26	281	0.82	229.75	1.14	170	0.55	92.67	0.60
P27	34	0.16	5.51	0.11	509	0.51	259.75	0.41
P28	136	0.62	83.87	0.69	279	0.47	130.81	0.37
P29	436	1.00	434.36	0.81	38	0.69	26.29	0.60
P30	197	0.60	119.06	0.71	143	0.82	116.55	1.09
P31	587	0.69	403.81	0.62	62	0.14	8.45	0.14
Ting-Yu	155	0.34	52.06	0.37	426	0.57	241.05	0.53
All Recordings	7666	0.67	5118.45	0.87	4678	0.60	2785.81	0.70
