	Visit Duration_m_WF002_1PT.avi_eye_N	Visit Duration_m_WF002_1PT.avi_eye_Mean	Visit Duration_m_WF002_1PT.avi_eye_Sum	Visit Duration_m_WF002_1PT.avi_eye_Stdev	Visit Duration_m_WF002_1PT.avi_mouth_N	Visit Duration_m_WF002_1PT.avi_mouth_Mean	Visit Duration_m_WF002_1PT.avi_mouth_Sum	Visit Duration_m_WF002_1PT.avi_mouth_Stdev	Visit Duration_m_WF009_4PL.avi_eye_N	Visit Duration_m_WF009_4PL.avi_eye_Mean	Visit Duration_m_WF009_4PL.avi_eye_Sum	Visit Duration_m_WF009_4PL.avi_eye_Stdev	Visit Duration_m_WF009_4PL.avi_mouth_N	Visit Duration_m_WF009_4PL.avi_mouth_Mean	Visit Duration_m_WF009_4PL.avi_mouth_Sum	Visit Duration_m_WF009_4PL.avi_mouth_Stdev	Visit Duration_m_WF011_1PT.avi_eye_N	Visit Duration_m_WF011_1PT.avi_eye_Mean	Visit Duration_m_WF011_1PT.avi_eye_Sum	Visit Duration_m_WF011_1PT.avi_eye_Stdev	Visit Duration_m_WF011_1PT.avi_mouth_N	Visit Duration_m_WF011_1PT.avi_mouth_Mean	Visit Duration_m_WF011_1PT.avi_mouth_Sum	Visit Duration_m_WF011_1PT.avi_mouth_Stdev	Visit Duration_m_WF013_1PT.avi_eye_N	Visit Duration_m_WF013_1PT.avi_eye_Mean	Visit Duration_m_WF013_1PT.avi_eye_Sum	Visit Duration_m_WF013_1PT.avi_eye_Stdev	Visit Duration_m_WF013_1PT.avi_mouth_N	Visit Duration_m_WF013_1PT.avi_mouth_Mean	Visit Duration_m_WF013_1PT.avi_mouth_Sum	Visit Duration_m_WF013_1PT.avi_mouth_Stdev	Visit Duration_m_WF014_4PL.avi_eye_N	Visit Duration_m_WF014_4PL.avi_eye_Mean	Visit Duration_m_WF014_4PL.avi_eye_Sum	Visit Duration_m_WF014_4PL.avi_eye_Stdev	Visit Duration_m_WF014_4PL.avi_mouth_N	Visit Duration_m_WF014_4PL.avi_mouth_Mean	Visit Duration_m_WF014_4PL.avi_mouth_Sum	Visit Duration_m_WF014_4PL.avi_mouth_Stdev	Visit Duration_m_WF017_4PL.avi_eye_N	Visit Duration_m_WF017_4PL.avi_eye_Mean	Visit Duration_m_WF017_4PL.avi_eye_Sum	Visit Duration_m_WF017_4PL.avi_eye_Stdev	Visit Duration_m_WF017_4PL.avi_mouth_N	Visit Duration_m_WF017_4PL.avi_mouth_Mean	Visit Duration_m_WF017_4PL.avi_mouth_Sum	Visit Duration_m_WF017_4PL.avi_mouth_Stdev	Visit Duration_m_WF022_4PL.avi_eye_N	Visit Duration_m_WF022_4PL.avi_eye_Mean	Visit Duration_m_WF022_4PL.avi_eye_Sum	Visit Duration_m_WF022_4PL.avi_eye_Stdev	Visit Duration_m_WF022_4PL.avi_mouth_N	Visit Duration_m_WF022_4PL.avi_mouth_Mean	Visit Duration_m_WF022_4PL.avi_mouth_Sum	Visit Duration_m_WF022_4PL.avi_mouth_Stdev	Visit Duration_m_WF024_1PT.avi_eye_N	Visit Duration_m_WF024_1PT.avi_eye_Mean	Visit Duration_m_WF024_1PT.avi_eye_Sum	Visit Duration_m_WF024_1PT.avi_eye_Stdev	Visit Duration_m_WF024_1PT.avi_mouth_N	Visit Duration_m_WF024_1PT.avi_mouth_Mean	Visit Duration_m_WF024_1PT.avi_mouth_Sum	Visit Duration_m_WF024_1PT.avi_mouth_Stdev	Visit Duration_s_WF005_4PL.avi_eye_N	Visit Duration_s_WF005_4PL.avi_eye_Mean	Visit Duration_s_WF005_4PL.avi_eye_Sum	Visit Duration_s_WF005_4PL.avi_eye_Stdev	Visit Duration_s_WF005_4PL.avi_mouth_N	Visit Duration_s_WF005_4PL.avi_mouth_Mean	Visit Duration_s_WF005_4PL.avi_mouth_Sum	Visit Duration_s_WF005_4PL.avi_mouth_Stdev	Visit Duration_s_WF007_4PL.avi_eye_N	Visit Duration_s_WF007_4PL.avi_eye_Mean	Visit Duration_s_WF007_4PL.avi_eye_Sum	Visit Duration_s_WF007_4PL.avi_eye_Stdev	Visit Duration_s_WF007_4PL.avi_mouth_N	Visit Duration_s_WF007_4PL.avi_mouth_Mean	Visit Duration_s_WF007_4PL.avi_mouth_Sum	Visit Duration_s_WF007_4PL.avi_mouth_Stdev	Visit Duration_s_WF016_4PL.avi_eye_N	Visit Duration_s_WF016_4PL.avi_eye_Mean	Visit Duration_s_WF016_4PL.avi_eye_Sum	Visit Duration_s_WF016_4PL.avi_eye_Stdev	Visit Duration_s_WF016_4PL.avi_mouth_N	Visit Duration_s_WF016_4PL.avi_mouth_Mean	Visit Duration_s_WF016_4PL.avi_mouth_Sum	Visit Duration_s_WF016_4PL.avi_mouth_Stdev	Visit Duration_s_WF018_1PT.avi_eye_N	Visit Duration_s_WF018_1PT.avi_eye_Mean	Visit Duration_s_WF018_1PT.avi_eye_Sum	Visit Duration_s_WF018_1PT.avi_eye_Stdev	Visit Duration_s_WF018_1PT.avi_mouth_N	Visit Duration_s_WF018_1PT.avi_mouth_Mean	Visit Duration_s_WF018_1PT.avi_mouth_Sum	Visit Duration_s_WF018_1PT.avi_mouth_Stdev	Visit Duration_s_WF021_1PT.avi_eye_N	Visit Duration_s_WF021_1PT.avi_eye_Mean	Visit Duration_s_WF021_1PT.avi_eye_Sum	Visit Duration_s_WF021_1PT.avi_eye_Stdev	Visit Duration_s_WF021_1PT.avi_mouth_N	Visit Duration_s_WF021_1PT.avi_mouth_Mean	Visit Duration_s_WF021_1PT.avi_mouth_Sum	Visit Duration_s_WF021_1PT.avi_mouth_Stdev	Visit Duration_s_WF022_1PT.avi_eye_N	Visit Duration_s_WF022_1PT.avi_eye_Mean	Visit Duration_s_WF022_1PT.avi_eye_Sum	Visit Duration_s_WF022_1PT.avi_eye_Stdev	Visit Duration_s_WF022_1PT.avi_mouth_N	Visit Duration_s_WF022_1PT.avi_mouth_Mean	Visit Duration_s_WF022_1PT.avi_mouth_Sum	Visit Duration_s_WF022_1PT.avi_mouth_Stdev	Visit Duration_s_WF023_4PL.avi_eye_N	Visit Duration_s_WF023_4PL.avi_eye_Mean	Visit Duration_s_WF023_4PL.avi_eye_Sum	Visit Duration_s_WF023_4PL.avi_eye_Stdev	Visit Duration_s_WF023_4PL.avi_mouth_N	Visit Duration_s_WF023_4PL.avi_mouth_Mean	Visit Duration_s_WF023_4PL.avi_mouth_Sum	Visit Duration_s_WF023_4PL.avi_mouth_Stdev	Visit Duration_s_WF025_1PT.avi_eye_N	Visit Duration_s_WF025_1PT.avi_eye_Mean	Visit Duration_s_WF025_1PT.avi_eye_Sum	Visit Duration_s_WF025_1PT.avi_eye_Stdev	Visit Duration_s_WF025_1PT.avi_mouth_N	Visit Duration_s_WF025_1PT.avi_mouth_Mean	Visit Duration_s_WF025_1PT.avi_mouth_Sum	Visit Duration_s_WF025_1PT.avi_mouth_Stdev
Jieying	14	2.03	28.49	2.15	-	-	-	-	9	3.21	28.91	4.09	-	-	-	-	9	3.38	30.45	3.84	-	-	-	-	4	8.72	34.88	10.67	-	-	-	-	9	3.66	32.90	2.27	-	-	-	-	18	1.45	26.06	1.21	1	0.11	0.11	-	6	6.44	38.64	2.91	-	-	-	-	4	9.49	37.95	8.36	-	-	-	-	3	11.84	35.52	13.45	-	-	-	-	4	8.94	35.77	13.72	-	-	-	-	6	5.00	29.99	5.99	-	-	-	-	6	5.02	30.11	6.79	-	-	-	-	13	2.05	26.67	2.18	-	-	-	-	4	7.55	30.21	6.07	1	0.21	0.21	-	8	3.67	29.40	2.37	-	-	-	-	9	2.84	25.56	5.13	1	0.14	0.14	-
Jieying	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0.60	0.60	-	2	0.62	1.24	0.47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Mengran	4	0.16	0.64	0.12	3	0.19	0.56	0.14	6	0.42	2.50	0.28	3	0.63	1.89	0.57	2	0.29	0.57	0.04	4	0.46	1.84	0.23	4	0.33	1.33	0.25	5	0.47	2.35	0.29	1	1.35	1.35	-	1	0.35	0.35	-	11	0.37	4.10	0.38	3	0.70	2.11	1.14	3	0.64	1.91	0.23	5	0.47	2.35	0.41	11	0.29	3.22	0.29	1	0.35	0.35	-	5	1.59	7.94	1.34	4	0.41	1.66	0.17	6	0.86	5.14	0.64	4	0.27	1.08	0.43	3	5.48	16.43	5.84	1	0.92	0.92	-	8	1.03	8.21	0.79	7	0.44	3.11	0.34	3	0.19	0.58	0.16	7	0.82	5.77	0.73	8	0.42	3.39	0.45	7	0.42	2.96	0.46	4	0.08	0.30	0.05	10	0.71	7.11	0.58	8	0.46	3.67	0.29	1	0.46	0.46	-
P03	5	6.32	31.60	6.69	-	-	-	-	10	2.74	27.42	2.48	-	-	-	-	7	5.06	35.39	3.67	-	-	-	-	3	12.71	38.12	15.32	-	-	-	-	6	5.56	33.35	2.47	-	-	-	-	13	2.19	28.45	1.43	-	-	-	-	7	5.19	36.33	3.51	-	-	-	-	12	2.51	30.14	3.34	-	-	-	-	5	6.87	34.35	7.39	-	-	-	-	6	5.14	30.82	7.72	-	-	-	-	9	3.07	27.63	4.86	-	-	-	-	9	3.27	29.43	3.54	-	-	-	-	11	1.98	21.73	2.12	-	-	-	-	6	5.15	30.93	5.72	-	-	-	-	11	2.76	30.39	4.61	-	-	-	-	8	2.61	20.84	2.89	-	-	-	-
P04	17	0.58	9.85	0.42	16	0.52	8.33	0.38	4	0.65	2.58	0.43	9	1.04	9.34	0.73	7	0.19	1.33	0.10	14	1.00	14.05	1.67	5	0.63	3.16	0.35	9	0.88	7.89	0.36	5	0.27	1.36	0.20	6	0.64	3.84	0.40	14	0.41	5.69	0.38	15	0.40	6.00	0.34	7	0.33	2.33	0.35	16	0.61	9.77	0.32	7	0.37	2.62	0.20	4	0.27	1.09	0.15	12	0.84	10.06	0.51	13	0.63	8.14	0.40	7	0.50	3.47	0.29	13	0.39	5.02	0.17	16	0.56	8.88	0.41	10	0.51	5.09	0.25	10	0.68	6.79	0.89	11	0.51	5.66	0.29	4	0.25	1.01	0.13	15	0.97	14.52	0.99	2	0.21	0.41	0.22	10	1.31	13.06	0.98	-	-	-	-	16	0.88	14.16	0.45	7	0.42	2.91	0.20	9	0.58	5.23	0.44
P05	9	3.20	28.78	3.55	2	1.03	2.06	0.17	20	1.24	24.74	1.00	4	0.28	1.13	0.24	20	1.11	22.20	1.05	8	0.35	2.76	0.32	14	2.42	33.84	2.35	3	0.46	1.38	0.20	18	1.30	23.35	0.88	2	0.77	1.55	0.05	17	1.64	27.86	1.17	1	0.37	0.37	-	26	0.99	25.66	0.86	8	0.30	2.42	0.29	18	1.19	21.44	0.81	3	0.45	1.36	0.20	20	1.30	26.06	1.37	1	0.37	0.37	-	6	5.98	35.89	2.52	-	-	-	-	17	1.60	27.15	1.69	3	0.48	1.43	0.45	18	1.31	23.66	1.20	4	0.39	1.55	0.24	19	1.60	30.39	1.44	-	-	-	-	14	1.48	20.67	1.23	6	0.77	4.60	0.68	12	2.40	28.84	2.39	2	0.13	0.26	0.11	15	1.02	15.32	0.97	-	-	-	-
P06	10	2.60	25.99	2.31	5	0.41	2.05	0.23	14	1.86	26.07	1.93	6	0.46	2.74	0.24	17	1.01	17.15	0.82	7	0.81	5.65	0.41	19	1.48	28.19	1.17	10	0.57	5.69	0.44	14	1.84	25.80	2.03	5	0.70	3.48	0.37	21	1.16	24.46	1.15	10	0.24	2.44	0.16	21	1.16	24.44	1.37	16	0.57	9.08	0.31	19	1.38	26.29	1.15	10	0.47	4.73	0.15	17	1.25	21.33	0.62	6	0.55	3.31	0.35	16	1.61	25.73	1.07	6	0.69	4.12	0.51	17	1.25	21.25	0.85	10	0.74	7.41	0.37	20	0.79	15.82	0.60	15	0.49	7.34	0.20	24	0.89	21.32	1.20	7	0.24	1.67	0.22	15	1.15	17.21	0.73	13	0.85	11.03	0.42	19	0.99	18.78	0.65	20	0.74	14.77	0.35	18	0.76	13.75	0.49	8	0.17	1.37	0.15
P07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	0.05	0.11	0.06	7	1.48	10.34	1.52	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0.05	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
P08	1	0.17	0.17	-	1	0.22	0.22	-	-	-	-	-	11	0.73	7.98	0.53	-	-	-	-	9	2.00	18.01	4.17	-	-	-	-	5	1.63	8.15	1.92	1	0.12	0.12	-	8	1.22	9.74	1.43	4	0.48	1.94	0.22	4	0.92	3.66	0.59	1	0.67	0.67	-	13	2.16	28.05	2.02	1	0.14	0.14	-	7	1.81	12.70	2.09	1	1.01	1.01	-	5	0.35	1.74	0.09	1	0.11	0.11	-	10	2.30	23.03	1.74	1	0.75	0.75	-	5	1.08	5.39	1.13	1	0.53	0.53	-	3	0.40	1.21	0.15	1	0.09	0.09	-	11	2.65	29.13	2.61	-	-	-	-	7	0.74	5.18	0.79	-	-	-	-	4	9.14	36.55	10.36	4	0.19	0.74	0.16	3	0.36	1.08	0.41
P09	5	3.46	17.32	4.16	2	0.05	0.09	0.01	10	1.05	10.48	0.99	2	0.15	0.29	0.20	14	0.81	11.35	0.61	7	0.33	2.30	0.25	6	4.72	28.32	4.83	4	0.65	2.58	0.44	9	2.34	21.05	3.17	1	0.09	0.09	-	14	1.25	17.46	1.07	4	0.21	0.86	0.13	17	1.20	20.42	1.38	5	0.27	1.33	0.35	13	2.00	25.95	1.83	4	0.44	1.75	0.44	14	1.04	14.51	0.77	4	0.85	3.41	0.39	6	2.32	13.92	4.20	7	0.58	4.07	0.65	17	1.38	23.41	1.32	4	0.18	0.72	0.17	13	2.10	27.24	2.61	-	-	-	-	7	0.66	4.64	0.72	5	1.95	9.77	2.13	4	1.12	4.47	1.02	14	0.35	4.86	0.36	1	0.35	0.35	-	11	2.77	30.52	4.59	7	0.52	3.64	0.67	9	0.61	5.51	0.48
