	Visit Duration_All Media_eyes_N	Visit Duration_All Media_eyes_Mean	Visit Duration_All Media_eyes_Sum	Visit Duration_All Media_eyes_Stdev	Visit Duration_All Media_mouth_N	Visit Duration_All Media_mouth_Mean	Visit Duration_All Media_mouth_Sum	Visit Duration_All Media_mouth_Stdev
Jieying	126	3.98	501.52	5.34	3	0.15	0.46	0.05
Jieying	1	0.60	0.60	-	2	0.62	1.24	0.47
Mengran	87	0.70	61.27	1.40	66	0.53	34.86	0.49
P03	128	3.80	486.92	4.72	-	-	-	-
P04	124	0.50	62.45	0.44	186	0.71	131.19	0.70
P05	263	1.58	415.84	1.67	47	0.45	21.22	0.38
P06	281	1.26	353.59	1.22	154	0.56	86.88	0.36
P07	2	0.05	0.11	0.06	8	1.30	10.39	1.50
P08	17	0.37	6.27	0.29	106	1.81	191.84	3.02
P09	157	1.56	244.53	2.13	83	0.82	68.15	1.91
P10	86	0.61	52.16	0.50	64	0.73	46.63	0.62
P11	242	0.94	227.24	1.34	53	0.36	19.30	0.23
P12	56	0.44	24.44	0.39	179	0.81	145.44	0.84
P13	120	3.63	435.12	4.65	14	0.74	10.30	0.82
P14	38	0.36	13.83	0.30	252	1.34	338.52	2.00
P15	118	0.49	57.81	0.55	4	0.45	1.82	0.86
P16	126	0.99	124.42	1.64	127	0.81	103.28	1.07
P17	38	0.51	19.54	0.53	48	0.66	31.64	0.82
P18	111	0.54	60.17	0.50	220	0.82	179.56	0.91
P19	150	1.79	268.85	2.61	50	0.39	19.56	0.32
P20	44	0.26	11.48	0.23	217	0.66	143.31	0.90
P21	41	0.33	13.66	0.25	206	1.73	357.06	2.93
P23	266	0.99	264.19	1.15	48	0.35	16.86	0.39
P24	165	0.91	149.60	1.03	43	0.67	28.86	0.57
P25	200	1.14	228.62	1.32	16	0.28	4.43	0.32
P26	196	1.27	249.87	1.88	148	0.64	95.10	0.61
P27	31	0.18	5.72	0.14	298	0.92	274.24	0.92
P28	104	0.85	88.36	1.11	240	0.56	134.98	0.49
P29	166	2.64	437.54	2.62	34	0.78	26.53	0.61
P30	152	0.80	121.27	1.09	133	0.88	117.01	1.12
P31	206	2.00	411.69	2.53	58	0.15	8.69	0.15
Ting-Yu	120	0.47	56.09	0.55	236	1.16	272.60	1.23
All Recordings	3962	1.38	5454.78	2.29	3343	0.87	2921.93	1.37
